"Id","Method","Path","Input","Purpose","Expected","Actual","Assertions","Status","Time"
"API_001","GET","/api/categories","Không gửi cookie/session/token đăng nhập","Kiểm tra API danh mục bị chặn khi chưa đăng nhập","401 Unauthorized, code AUTH_REQUIRED","401 Unauthorized","3","PASSED","490 ms"
"API_002","POST","/api/categories","Không gửi cookie/session/token, body thiếu name_category và description_category","Kiểm tra API tạo danh mục bị chặn trước khi xử lý dữ liệu","401 Unauthorized, code AUTH_REQUIRED","401 Unauthorized","3","PASSED","184 ms"
"API_003","GET","/api/check-tables","Không gửi cookie/session/token đăng nhập","Kiểm tra API nội bộ bị chặn khi chưa đăng nhập","401 Unauthorized, code AUTH_REQUIRED","401 Unauthorized","3","PASSED","172 ms"
"API_004","GET","/api/partners/returns","Không gửi cookie/session/token đăng nhập","Kiểm tra API danh sách đổi trả bị chặn khi chưa đăng nhập","401 Unauthorized, code AUTH_REQUIRED","401 Unauthorized","3","PASSED","176 ms"
"API_005","POST","/api/partners/returns","Không gửi cookie/session/token, body thiếu dữ liệu đổi trả","Kiểm tra API tạo yêu cầu đổi trả bị chặn trước khi ghi dữ liệu","401 Unauthorized, code AUTH_REQUIRED","401 Unauthorized","3","PASSED","171 ms"
"API_006","POST","/auth/v1/token?grant_type=password","Email admin và mật khẩu lấy từ biến môi trường","Kiểm tra đăng nhập thành công với tài khoản admin","200 OK, trả về access_token và đúng email admin","200 OK, đăng nhập thành công và trả về token","4","PASSED","337 ms"
"API_007","GET","/rest/v1/accounts","Bearer token của admin","Kiểm tra vai trò và trạng thái tài khoản admin","200 OK, role = admin, status = active","200 OK, role = admin, status = active","4","PASSED","176 ms"
"API_008","GET","/api/check-tables","Bearer token của admin","Kiểm tra admin gọi được API nội bộ sau đăng nhập","200 OK, success = true","200 OK, success = true","3","PASSED","800 ms"
"API_009","POST","/auth/v1/token?grant_type=password","Email NVBH và mật khẩu lấy từ biến môi trường","Kiểm tra đăng nhập thành công với tài khoản nhân viên bán hàng","200 OK, trả về access_token và đúng email NVBH","200 OK, đăng nhập thành công và trả về token","4","PASSED","200 ms"
"API_010","GET","/rest/v1/accounts","Bearer token của NVBH","Kiểm tra vai trò và trạng thái tài khoản nhân viên bán hàng","200 OK, role = NVBH, status = active","200 OK, role = NVBH, status = active","4","PASSED","120 ms"
"API_011","GET","/api/check-tables","Bearer token của NVBH","Kiểm tra NVBH gọi được API nội bộ sau đăng nhập","200 OK, success = true","200 OK, success = true","3","PASSED","807 ms"
